date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:08	4044/4044	---M--	200	added ('OK')	image/png	etag:%228ec7edea7f2d11:0%22	https://daily.gate.vn/Skin/images/icon1.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/icon1.png	(from https://daily.gate.vn/home/)
20:33:08	185/185	---M--	302	error ('Found')	text/html	date:Wed,%2012%20Sep%202018%2013:33:07%20GMT	https://daily.gate.vn/nap-ggold/thong-bao-nap-tien/	E:/FPT/Template/Template/daily.gate.vn/nap-ggold/thong-bao-nap-tien/index.html	(from https://daily.gate.vn/home/)
20:33:08	2724/2724	---M--	200	added ('OK')	image/png	etag:%22212cb0802d11:0%22	https://daily.gate.vn/Skin/images/icon2.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/icon2.png	(from https://daily.gate.vn/home/)
20:33:08	33015/33015	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2013:33:07%20GMT	https://daily.gate.vn/dich-vu-thanh-toan/huong-dan-ket-noi-gach-the/	E:/FPT/Template/Template/daily.gate.vn/dich-vu-thanh-toan/huong-dan-ket-noi-gach-the/index.html	(from https://daily.gate.vn/home/)
20:33:08	3051/3051	---M--	200	added ('OK')	image/png	etag:%222f398b3d802d11:0%22	https://daily.gate.vn/Skin/images/icon6.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/icon6.png	(from https://daily.gate.vn/home/)
20:33:09	37062/37062	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2013:33:05%20GMT	https://daily.gate.vn/nap-dien-thoai/nap-viettel/	E:/FPT/Template/Template/daily.gate.vn/nap-dien-thoai/nap-viettel/index.html	(from https://daily.gate.vn/home/)
20:33:09	4552/4552	---M--	200	added ('OK')	image/png	etag:%22c3ff860802d11:0%22	https://daily.gate.vn/Skin/images/icon8.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/icon8.png	(from https://daily.gate.vn/home/)
20:33:09	42538/42538	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2013:33:06%20GMT	https://daily.gate.vn/the-game-online/the-gate/	E:/FPT/Template/Template/daily.gate.vn/the-game-online/the-gate/index.html	(from https://daily.gate.vn/home/)
20:33:09	3310/3310	---M--	200	added ('OK')	image/png	etag:%225b0311802d11:0%22	https://daily.gate.vn/Skin/images/icon3.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/icon3.png	(from https://daily.gate.vn/home/)
20:33:09	43089/43089	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2013:33:08%20GMT	https://daily.gate.vn/the-dien-thoai/the-viettel/	E:/FPT/Template/Template/daily.gate.vn/the-dien-thoai/the-viettel/index.html	(from https://daily.gate.vn/home/)
20:33:09	2993/2993	---M--	200	added ('OK')	image/png	etag:%2249aba02d802d11:0%22	https://daily.gate.vn/Skin/images/icon5.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/icon5.png	(from https://daily.gate.vn/home/)
20:33:09	37967/37967	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2013:33:08%20GMT	https://daily.gate.vn/nap-game-online/	E:/FPT/Template/Template/daily.gate.vn/nap-game-online/index.html	(from https://daily.gate.vn/home/)
20:33:09	3854/3854	---M--	200	added ('OK')	image/png	etag:%220d054c95c0d11:0%22	https://daily.gate.vn/Skin/images/icon9.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/icon9.png	(from https://daily.gate.vn/home/)
20:33:10	37780/37780	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2013:33:08%20GMT	https://daily.gate.vn/dich-vu-thanh-toan/cuoc-di-dong-tra-sau/	E:/FPT/Template/Template/daily.gate.vn/dich-vu-thanh-toan/cuoc-di-dong-tra-sau/index.html	(from https://daily.gate.vn/home/)
